case_id,scene_id,generation,is_ood,expected_degradation,expected_tool,raw_degradation,raw_tool,raw_correct,fused_degradation,fused_tool,fused_correct,decision_source,routing_confidence,diagnosis_seconds,peak_gpu_memory_gb,total_runtime_seconds,run_report
GOPR0396_11_00__clean,GOPR0396_11_00,clean,False,clean,none,clean,none,True,clean,none,True,vlm_objective_agreement,0.7052,0.844,5.843,6.077,outputs/heldout_v2_final/GOPR0396_11_00__clean/single/run_report.json
GOPR0396_11_00__blur,GOPR0396_11_00,blur,False,blur,deblur,clean,none,False,clean,none,False,vlm_objective_agreement,0.8325,0.847,5.844,6.057,outputs/heldout_v2_final/GOPR0396_11_00__blur/single/run_report.json
GOPR0396_11_00__noise_sigma12,GOPR0396_11_00,noise_sigma12,False,noise,denoise,clean,none,False,unknown,manual_review,False,abstain_vlm_objective_disagreement,0.0,0.849,5.844,6.076,outputs/heldout_v2_final/GOPR0396_11_00__noise_sigma12/single/run_report.json
GOPR0396_11_00__noise_sigma35,GOPR0396_11_00,noise_sigma35,False,noise,denoise,noise,denoise,True,noise,denoise,True,vlm_objective_agreement,1.0,0.896,5.844,8.685,outputs/heldout_v2_final/GOPR0396_11_00__noise_sigma35/single/run_report.json
GOPR0396_11_00__lowlight_gain030,GOPR0396_11_00,lowlight_gain030,False,low_light,enhance_lowlight,low_light,enhance_lowlight,True,unknown,manual_review,False,abstain_objective_uncertain,0.0,0.954,5.843,6.163,outputs/heldout_v2_final/GOPR0396_11_00__lowlight_gain030/single/run_report.json
GOPR0396_11_00__lowlight_gain012,GOPR0396_11_00,lowlight_gain012,False,low_light,enhance_lowlight,low_light,enhance_lowlight,True,low_light,enhance_lowlight,True,vlm_objective_agreement,0.82,0.948,5.843,10.081,outputs/heldout_v2_final/GOPR0396_11_00__lowlight_gain012/single/run_report.json
GOPR0396_11_00__jpeg_quality10,GOPR0396_11_00,jpeg_quality10,True,jpeg,manual_review,clean,none,False,clean,none,False,vlm_objective_agreement,0.9312,0.833,5.844,5.927,outputs/heldout_v2_final/GOPR0396_11_00__jpeg_quality10/single/run_report.json
GOPR0396_11_00__mixed_blur_noise,GOPR0396_11_00,mixed_blur_noise,True,mixed,manual_review,noise,denoise,False,noise,denoise,False,vlm_objective_agreement,0.8512,0.883,5.843,8.766,outputs/heldout_v2_final/GOPR0396_11_00__mixed_blur_noise/single/run_report.json
GOPR0396_11_00__unknown_color_cast,GOPR0396_11_00,unknown_color_cast,True,unknown,manual_review,noise,denoise,False,unknown,manual_review,True,abstain_vlm_objective_disagreement,0.0,0.887,5.844,6.083,outputs/heldout_v2_final/GOPR0396_11_00__unknown_color_cast/single/run_report.json
GOPR0868_11_00__clean,GOPR0868_11_00,clean,False,clean,none,clean,none,True,clean,none,True,vlm_objective_agreement,0.7898,0.842,5.844,6.031,outputs/heldout_v2_final/GOPR0868_11_00__clean/single/run_report.json
GOPR0868_11_00__blur,GOPR0868_11_00,blur,False,blur,deblur,blur,deblur,True,blur,deblur,True,vlm_objective_agreement,0.6766,0.873,5.843,15.257,outputs/heldout_v2_final/GOPR0868_11_00__blur/single/run_report.json
GOPR0868_11_00__noise_sigma12,GOPR0868_11_00,noise_sigma12,False,noise,denoise,noise,denoise,True,unknown,manual_review,False,abstain_objective_uncertain,0.6484,0.887,5.844,6.1,outputs/heldout_v2_final/GOPR0868_11_00__noise_sigma12/single/run_report.json
GOPR0868_11_00__noise_sigma35,GOPR0868_11_00,noise_sigma35,False,noise,denoise,noise,denoise,True,noise,denoise,True,vlm_objective_agreement,1.0,0.889,5.843,8.772,outputs/heldout_v2_final/GOPR0868_11_00__noise_sigma35/single/run_report.json
